bloomberg_ticker	ticker
VIC VM Equity	VIC
VHM VM Equity	VHM
GAS VM Equity	GAS
HPG VM Equity	HPG
BCM VM Equity	BCM
KDH VM Equity	KDH
NLG VM Equity	NLG
DGC VM Equity	DGC
FPT VM Equity	FPT
GMD VM Equity	GMD
REE VM Equity	REE
NTP VH Equity	NTP
DCM VM Equity	DCM
PLX VM Equity	PLX
PVD VM Equity	PVD
TCX VN Equity	TCX
SSI VM Equity	SSI
VCI VM Equity	VCI
VND VM Equity	VND
MCH VU Equity	MCH
VNM VM Equity	VNM
MSN VM Equity	MSN
SAB VM Equity	SAB
ANV VM Equity	ANV
MWG VM Equity	MWG
DMX VM Equity	DMX
PNJ VM Equity	PNJ
VCB VM Equity	VCB
BID VM Equity	BID
CTG VM Equity	CTG
TCB VM Equity	TCB
VPB VM Equity	VPB
MBB VM Equity	MBB
STB VM Equity	STB
ACB VM Equity	ACB
HDB VM Equity	HDB
HVN VM Equity	HVN
NT2 VM Equity	NT2
QTP VU Equity	QTP
GEG VM Equity	GEG
DPR VM Equity	DPR
PDR VM Equity	PDR
DIG VM Equity	DIG
SZC VM Equity	SZC
LHG VM Equity	LHG
IJC VM Equity	IJC
HHS VM Equity	HHS
BVH VM Equity	BVH
HAH VM Equity	HAH
GEE VM Equity	GEE
GEX VM Equity	GEX
DDV VU Equity	DDV
OIL VU Equity	OIL
TV2 VM Equity	TV2
VIX VM Equity	VIX
MBS VH Equity	MBS
ORS VM Equity	ORS
SBT VM Equity	SBT
KDC VM Equity	KDC
PAN VM Equity	PAN
AST VM Equity	AST
TNG VH Equity	TNG
TCM VM Equity	TCM
STK VM Equity	STK
CII VM Equity	CII
HBC VU Equity	HBC
NVB VH Equity	NVB
VJC VM Equity	VJC
CSV VM Equity	CSV
DSE VM Equity	DSE
SSB VM Equity	SSB
VPL VM Equity	VPL
VRE VM Equity	VRE
POW VM Equity	POW
BWE VM Equity	BWE
HSG VM Equity	HSG
NKG VM Equity	NKG
GDA VU Equity	GDA
GVR VM Equity	GVR
PHR VM Equity	PHR
NVL VM Equity	NVL
KBC VM Equity	KBC
DXG VM Equity	DXG
IDC VH Equity	IDC
TCH VM Equity	TCH
VCG VM Equity	VCG
SIP VM Equity	SIP
CEO VH Equity	CEO
HDG VM Equity	HDG
HHV VM Equity	HHV
DXS VM Equity	DXS
HDC VM Equity	HDC
NTC VU Equity	NTC
HT1 VM Equity	HT1
PTB VM Equity	PTB
DHC VM Equity	DHC
VLB VU Equity	VLB
PVI VH Equity	PVI
DGW VM Equity	DGW
CMG VM Equity	CMG
ELC VM Equity	ELC
VTP VM Equity	VTP
BMP VM Equity	BMP
VSC VM Equity	VSC
TMS VM Equity	TMS
SCS VM Equity	SCS
DVP VM Equity	DVP
DHG VM Equity	DHG
TNH VM Equity	TNH
GEL VN Equity	GEL
VGC VM Equity	VGC
DPM VM Equity	DPM
BSR VM Equity	BSR
PVS VH Equity	PVS
PVT VM Equity	PVT
PVP VM Equity	PVP
VTO VM Equity	VTO
VIP VM Equity	VIP
VCK VM Equity	VCK
VPX VM Equity	VPX
HCM VM Equity	HCM
SHS VH Equity	SHS
FTS VM Equity	FTS
BSI VM Equity	BSI
BVS VH Equity	BVS
QNS VU Equity	QNS
VHC VM Equity	VHC
DBC VM Equity	DBC
TLG VM Equity	TLG
NAF VM Equity	NAF
BAF VM Equity	BAF
FMC VM Equity	FMC
VEA VU Equity	VEA
FRT VM Equity	FRT
PET VM Equity	PET
MSH VM Equity	MSH
DRC VM Equity	DRC
CTR VM Equity	CTR
CTD VM Equity	CTD
PC1 VM Equity	PC1
DPG VM Equity	DPG
LPB VM Equity	LPB
SHB VM Equity	SHB
VIB VM Equity	VIB
MSB VM Equity	MSB
TPB VM Equity	TPB
EIB VM Equity	EIB
OCB VM Equity	OCB
ACV VU Equity	ACV
SAS VU Equity	SAS
F88 VN Equity	F88
CTS VM Equity	CTS
AIG VU Equity	AIG
BVB VU Equity	BVB
NAB VM Equity	NAB
VPI VM Equity	VPI
VC3 VH Equity	VC3
KHG VM Equity	KHG
SCR VM Equity	SCR
AGG VM Equity	AGG
TIG VH Equity	TIG
VCS VH Equity	VCS
AAA VM Equity	AAA
PLC VH Equity	PLC
CTI VM Equity	CTI
HUT VH Equity	HUT
C4G VU Equity	C4G
BCG VM Equity	BCG
IMP VM Equity	IMP
VDS VM Equity	VDS
AGR VM Equity	AGR
MPC VU Equity	MPC
VGT VU Equity	VGT
EVF VM Equity	EVF
VAB VM Equity	VAB
VFS VH Equity	VFS
PGV VM Equity	PGV
HGM VH Equity	HGM
TOS VU Equity	TOS
PAP VU Equity	PAP
SGP VU Equity	SGP
DHT VH Equity	DHT
SEA VU Equity	SEA
