bloomberg_ticker,ticker,Fiin_xhtn,Fiin_ngay,VIS_xhtn,VIS_ngay,SGR_xhtn,SGR_ngay,TMR_xhtn,TMR_ngay,SNI_xhtn,SNI_ngay,Fitch_xhtn,Fitch_ngay,so_agency,to_chuc_duoc_cham,ghi_chu
VIC VM Equity,VIC,A-,25/03/2026,,,,,,,,,,,1,Tập đoàn Vingroup - Công ty CP,
VHM VM Equity,VHM,A,05/06/2026,,,AA,06/05/2026,,,,,,,2,Công ty Cổ phần Vinhomes,
GAS VM Equity,GAS,,,,,,,,,,,BB+,13/02/2026,1,PetroVietnam Gas Joint Stock Corporation,
HPG VM Equity,HPG,,,,,,,,,,,,,0,,
BCM VM Equity,BCM,,,A,24/07/2026,,,,,,,,,1,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
KDH VM Equity,KDH,BBB+,04/12/2022,,,,,,,,,,,1,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,
NLG VM Equity,NLG,A-,25/04/2026,,,,,,,,,,,1,Công ty Cổ phần Đầu tư Nam Long,
DGC VM Equity,DGC,,,,,,,,,,,,,0,,
FPT VM Equity,FPT,,,,,,,,,,,,,0,,
GMD VM Equity,GMD,,,,,,,,,,,,,0,,
REE VM Equity,REE,,,,,,,,,,,,,0,,
NTP VH Equity,NTP,,,,,,,,,,,,,0,,
DCM VM Equity,DCM,,,,,,,,,,,,,0,,
PLX VM Equity,PLX,,,,,,,,,,,,,0,,
PVD VM Equity,PVD,,,,,,,,,,,,,0,,
TCX VN Equity,TCX,,,,,,,,,,,,,0,,
SSI VM Equity,SSI,,,,,,,,,,,,,0,,
VCI VM Equity,VCI,A,29/04/2026,,,,,,,,,,,1,Công ty Cổ phần Chứng khoán Vietcap,
VND VM Equity,VND,,,A-,14/05/2026,,,,,,,,,1,Công ty Cổ phần Chứng khoán VNDIRECT,
MCH VU Equity,MCH,,,,,,,,,,,,,0,,
VNM VM Equity,VNM,,,,,,,,,,,,,0,,
MSN VM Equity,MSN,,,,,,,,,,,,,0,,
SAB VM Equity,SAB,,,,,,,,,,,,,0,,
ANV VM Equity,ANV,,,,,,,,,,,,,0,,
MWG VM Equity,MWG,,,,,,,,,,,,,0,,
DMX VM Equity,DMX,,,,,,,,,,,,,0,,
PNJ VM Equity,PNJ,,,,,,,,,,,,,0,,
VCB VM Equity,VCB,AAA,11/06/2026,,,,,,,,,BB+,03/11/2025,2,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,
BID VM Equity,BID,,,,,,,,,,,,,0,,
CTG VM Equity,CTG,,,,,,,,,,,BB+,03/11/2025,1,Vietnam Joint Stock Commercial Bank for Industry and Trade,
TCB VM Equity,TCB,AA-,06/04/2026,,,,,,,,,BB-,10/11/2025,2,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,
VPB VM Equity,VPB,,,,,,,,,,,,,0,,
MBB VM Equity,MBB,,,,,,,,,,,BB,06/11/2025,1,Military Commercial Joint Stock Bank,
STB VM Equity,STB,,,,,,,,,,,BB-,28/04/2026,1,Saigon Treasure Commercial Joint Stock Bank,
ACB VM Equity,ACB,AA+,09/03/2026,,,,,,,,,BB-,06/11/2025,2,Ngân hàng Thương mại Cổ phần Á Châu,
HDB VM Equity,HDB,A,29/03/2026,,,,,,,,,BB-,13/07/2026,2,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,
HVN VM Equity,HVN,,,,,,,,,,,,,0,,
NT2 VM Equity,NT2,,,,,,,,,,,,,0,,
QTP VU Equity,QTP,,,,,,,,,,,,,0,,
GEG VM Equity,GEG,A-,02/02/2026,,,,,,,,,,,1,Công ty Cổ phần Điện Gia Lai,
DPR VM Equity,DPR,,,,,,,,,,,,,0,,
PDR VM Equity,PDR,,,,,,,,,,,,,0,,
DIG VM Equity,DIG,BBB-,30/06/2026,,,,,,,,,,,1,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,
SZC VM Equity,SZC,,,,,,,,,,,,,0,,
LHG VM Equity,LHG,,,,,,,,,,,,,0,,
IJC VM Equity,IJC,,,,,,,,,,,,,0,,
HHS VM Equity,HHS,,,,,,,,,,,,,0,,
BVH VM Equity,BVH,,,,,,,,,,,,,0,,
HAH VM Equity,HAH,,,,,,,,,,,,,0,,
GEE VM Equity,GEE,,,,,,,,,,,,,0,,
GEX VM Equity,GEX,,,A,24/04/2026,,,,,,,,,1,Công ty Cổ phần Tập đoàn Gelex,
DDV VU Equity,DDV,,,,,,,,,,,,,0,,
OIL VU Equity,OIL,,,AA+,16/04/2026,,,,,,,,,1,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,
TV2 VM Equity,TV2,,,,,,,,,,,,,0,,
VIX VM Equity,VIX,,,,,,,,,,,,,0,,
MBS VH Equity,MBS,A-,21/11/2022,A+,13/05/2026,,,,,,,,,2,Công ty Cổ phần Chứng khoán MB,
ORS VM Equity,ORS,BBB-,21/03/2025,BBB+,04/09/2026,,,,,,,,,2,Công ty Cổ phần Chứng khoán Tiên Phong,
SBT VM Equity,SBT,,,,,A+,25/09/2026,,,,,,,1,Công ty Cổ phần Thành Thành Công - Biên Hòa (SBT),
KDC VM Equity,KDC,,,,,,,,,,,,,0,,
PAN VM Equity,PAN,,,,,,,,,,,,,0,,
AST VM Equity,AST,,,,,,,,,,,,,0,,
TNG VH Equity,TNG,,,,,A,18/06/2024,,,,,,,1,Công ty Cổ phần Đầu tư và Thương mại TNG,
TCM VM Equity,TCM,,,,,,,,,,,,,0,,
STK VM Equity,STK,,,,,,,,,,,,,0,,
CII VM Equity,CII,,,,,AA-,21/05/2026,,,,,,,1,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TPHCM (CII),
HBC VU Equity,HBC,,,,,,,,,,,,,0,,
NVB VH Equity,NVB,,,,,,,,,,,,,0,,
VJC VM Equity,VJC,,,,,BBB,10/09/2026,,,,,,,1,Công Ty Cổ phần Hàng Không VIETJET (VIETJET AIR),
CSV VM Equity,CSV,,,,,,,,,,,,,0,,
DSE VM Equity,DSE,,,,,,,,,,,,,0,,
SSB VM Equity,SSB,,,,,,,,,,,,,0,,
VPL VM Equity,VPL,,,,,A+,20/04/2026,,,,,,,1,Công ty Cổ phần Vinpearl,
VRE VM Equity,VRE,,,,,,,,,,,,,0,,
POW VM Equity,POW,,,,,,,,,,,BB+,13/05/2026,1,PetroVietnam Power Corporation,
BWE VM Equity,BWE,,,,,,,,,,,,,0,,
HSG VM Equity,HSG,,,,,,,,,,,,,0,,
NKG VM Equity,NKG,,,,,,,,,,,,,0,,
GDA VU Equity,GDA,,,,,,,,,,,,,0,,
GVR VM Equity,GVR,,,,,,,,,,,,,0,,
PHR VM Equity,PHR,,,,,,,,,,,,,0,,
NVL VM Equity,NVL,,,,,,,,,,,,,0,,
KBC VM Equity,KBC,A-,17/08/2026,,,,,,,,,,,1,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,Fiin: chi co XH cong cu no
DXG VM Equity,DXG,,,,,,,,,BBB+,10/12/2025,,,1,Công ty Cổ phần Tập đoàn Đất Xanh,
IDC VH Equity,IDC,,,,,,,,,,,,,0,,
TCH VM Equity,TCH,,,,,,,,,,,,,0,,
VCG VM Equity,VCG,,,,,,,,,,,,,0,,
SIP VM Equity,SIP,,,,,,,,,,,,,0,,
CEO VH Equity,CEO,,,,,,,,,,,,,0,,
HDG VM Equity,HDG,A,28/02/2025,,,,,,,,,,,1,Công ty Cổ phần Tập đoàn Hà Đô,
HHV VM Equity,HHV,,,,,,,,,,,,,0,,
DXS VM Equity,DXS,,,,,,,,,,,,,0,,
HDC VM Equity,HDC,,,,,,,,,,,,,0,,
NTC VU Equity,NTC,,,,,,,,,,,,,0,,
HT1 VM Equity,HT1,,,,,,,,,,,,,0,,
PTB VM Equity,PTB,,,,,,,,,,,,,0,,
DHC VM Equity,DHC,,,,,,,,,,,,,0,,
VLB VU Equity,VLB,,,,,,,,,,,,,0,,
PVI VH Equity,PVI,,,,,,,,,,,,,0,,
DGW VM Equity,DGW,,,,,,,,,,,,,0,,
CMG VM Equity,CMG,,,,,,,,,,,,,0,,
ELC VM Equity,ELC,,,,,,,,,,,,,0,,
VTP VM Equity,VTP,,,,,,,,,,,,,0,,
BMP VM Equity,BMP,,,,,,,,,,,,,0,,
VSC VM Equity,VSC,,,A,23/07/2026,,,,,,,,,1,Công ty Cổ phần Container Việt Nam,
TMS VM Equity,TMS,,,,,,,,,,,,,0,,
SCS VM Equity,SCS,,,,,,,,,,,,,0,,
DVP VM Equity,DVP,,,,,,,,,,,,,0,,
DHG VM Equity,DHG,,,,,,,,,,,,,0,,
TNH VM Equity,TNH,,,,,A+,31/07/2024,,,,,,,1,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,
GEL VN Equity,GEL,,,,,,,,,,,,,0,,
VGC VM Equity,VGC,,,,,,,,,,,,,0,,
DPM VM Equity,DPM,,,,,,,,,,,,,0,,
BSR VM Equity,BSR,,,,,,,,,,,BB+,19/08/2026,1,Petrovietnam Refining and Petrochemical Corporation,
PVS VH Equity,PVS,,,,,,,,,,,,,0,,
PVT VM Equity,PVT,,,,,,,,,,,,,0,,
PVP VM Equity,PVP,,,A,25/05/2026,,,,,,,,,1,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,
VTO VM Equity,VTO,,,,,,,,,,,,,0,,
VIP VM Equity,VIP,,,,,,,,,,,,,0,,
VCK VM Equity,VCK,,,,,,,,,,,,,0,,
VPX VM Equity,VPX,,,A,01/06/2026,,,,,,,,,1,Công ty Cổ phần Chứng khoán VPBank,
HCM VM Equity,HCM,,,,,,,,,,,,,0,,
SHS VH Equity,SHS,,,A,02/04/2026,,,,,,,,,1,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,
FTS VM Equity,FTS,,,,,,,,,,,,,0,,
BSI VM Equity,BSI,,,A+,17/06/2026,,,,,,,,,1,Công ty Cổ phần Chứng khoán BIDV,
BVS VH Equity,BVS,,,,,,,,,,,,,0,,
QNS VU Equity,QNS,,,,,,,,,,,,,0,,
VHC VM Equity,VHC,,,,,,,,,,,,,0,,
DBC VM Equity,DBC,,,,,,,,,,,,,0,,
TLG VM Equity,TLG,,,,,,,,,,,,,0,,
NAF VM Equity,NAF,,,,,,,,,,,,,0,,
BAF VM Equity,BAF,,,,,,12/09/2026,,,,,,,0,Công ty Cổ phần Nông nghiệp BAF Việt Nam,
FMC VM Equity,FMC,,,,,,,,,,,,,0,,
VEA VU Equity,VEA,,,,,,,,,,,,,0,,
FRT VM Equity,FRT,,,,,,,,,,,,,0,,
PET VM Equity,PET,,,,,,,,,,,,,0,,
MSH VM Equity,MSH,,,,,,,,,,,,,0,,
DRC VM Equity,DRC,,,,,,,,,,,,,0,,
CTR VM Equity,CTR,,,,,,,,,,,,,0,,
CTD VM Equity,CTD,BBB+,25/04/2026,,,,,,,,,,,1,Công ty Cổ phần Xây dựng Coteccons,
PC1 VM Equity,PC1,,,,,,,,,,,,,0,,
DPG VM Equity,DPG,,,,,,,,,,,,,0,,
LPB VM Equity,LPB,,,A+,08/05/2026,,,,,,,,,1,Ngân hàng TMCP Lộc Phát Việt Nam,
SHB VM Equity,SHB,,,,,,,,,,,BB-,06/11/2025,1,Saigon - Hanoi Commercial Joint Stock Bank,
VIB VM Equity,VIB,A+,15/07/2026,,,,,,,,,,,1,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,
MSB VM Equity,MSB,A,18/12/2025,,,,,,,,,,,1,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,
TPB VM Equity,TPB,,,AA-,22/05/2026,,,,,,,,,1,Ngân hàng TMCP Tiên Phong,
EIB VM Equity,EIB,,,,,,,,,,,,,0,,
OCB VM Equity,OCB,,,WR,15/05/2026,,,,,A+,10/03/2025,,,2,Ngân hàng TMCP Phương Đông,VIS: da rut xep hang
ACV VU Equity,ACV,,,,,,,,,,,,,0,,
SAS VU Equity,SAS,,,,,,,,,,,,,0,,
F88 VN Equity,F88,,,,,,,,,,,,,0,,
CTS VM Equity,CTS,,,,,,,,,,,,,0,,
AIG VU Equity,AIG,,,,,,,,,,,,,0,,
BVB VU Equity,BVB,,,,,,,,,,,B+,25/06/2026,1,Viet Capital Commercial Joint Stock Bank,
NAB VM Equity,NAB,A-,16/03/2026,,,,,,,,,B+,25/02/2026,2,Ngân hàng Thương mại Cổ phần Nam Á,
VPI VM Equity,VPI,BB+,15/04/2026,,,,,,,,,,,1,Công ty Cổ phần Phát triển Bất động sản Văn Phú,
VC3 VH Equity,VC3,,,,,,,,,,,,,0,,
KHG VM Equity,KHG,,,,,BBB-,16/06/2026,,,,,,,1,Công ty Cổ phần Tập đoàn Khải Hoàn Land,
SCR VM Equity,SCR,,,,,,,,,,,,,0,,
AGG VM Equity,AGG,BBB-,30/11/2022,,,,,,,,,,,1,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,
TIG VH Equity,TIG,,,,,,,,,,,,,0,,
VCS VH Equity,VCS,,,,,,,,,,,,,0,,
AAA VM Equity,AAA,,,,,,,,,,,,,0,,
PLC VH Equity,PLC,,,,,,,,,,,,,0,,
CTI VM Equity,CTI,,,,,,,,,,,,,0,,
HUT VH Equity,HUT,,,BBB+,04/06/2026,,,,,,,,,1,Công ty Cổ phần Tasco,
C4G VU Equity,C4G,,,,,,,,,,,,,0,,
BCG VM Equity,BCG,BB,28/06/2022,,,,,,,,,,,1,Công ty Cổ phần Tập đoàn Bamboo Capital,
IMP VM Equity,IMP,,,,,,,,,,,,,0,,
