ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,loai_hinh,trang_thai_xep_hang,loai_y_kien,ky_han,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,to_chuc_xhtn,thoi_gian_scrape,thang_diem,loai_rating_goc,ngay_snapshot,ngay_cong_bo_dt
13/07/2026,Ho Chi Minh City Development Joint Stock Commercial Bank,,,New Rating,Tổ chức phát hành,Dài hạn,BB-,Stable,,,,https://www.fitchratings.com/entity/ho-chi-minh-city-development-joint-stock-commercial-bank-97909597,97909597,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-07-13
25/06/2026,Viet Capital Commercial Joint Stock Bank,,,New Rating,Tổ chức phát hành,Dài hạn,B+,Stable,,,,https://www.fitchratings.com/entity/viet-capital-commercial-joint-stock-bank-97890589,97890589,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-06-25
16/06/2026,Vietnam,,,Affirmed,Tổ chức phát hành,Dài hạn,BB+,Stable,,,,https://www.fitchratings.com/entity/vietnam-80442269,80442269,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-06-16
13/05/2026,PetroVietnam Power Corporation,,,Affirmed,Tổ chức phát hành,Dài hạn,BB+,Stable,,,,https://www.fitchratings.com/entity/petrovietnam-power-corporation-joint-stock-company-97128194,97128194,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-05-13
28/04/2026,Saigon Treasure Commercial Joint Stock Bank,,,Affirmed,Tổ chức phát hành,Dài hạn,BB-,Stable,,,,https://www.fitchratings.com/entity/saigon-thuong-tin-commercial-joint-stock-bank-80361310,80361310,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-04-28
21/04/2026,VietCredit General Finance Joint Stock Company,,,New Rating,Tổ chức phát hành,Dài hạn,B-,Stable,,,,https://www.fitchratings.com/entity/vietcredit-general-finance-joint-stock-company-97848393,97848393,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-04-21
25/02/2026,Vietnam Asia Commercial Joint Stock Bank,,,Affirmed,Tổ chức phát hành,Dài hạn,B+,Stable,,,,https://www.fitchratings.com/entity/vietnam-asia-commercial-joint-stock-bank-97756842,97756842,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-02-25
25/02/2026,Nam A Commercial Joint Stock Bank,,,Affirmed,Tổ chức phát hành,Dài hạn,B+,Stable,,,,https://www.fitchratings.com/entity/nam-a-commercial-joint-stock-bank-97709010,97709010,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-02-25
24/02/2026,Vietnam Thuong Tin Commercial Joint Stock Bank,,,Review - No Action,Tổ chức phát hành,Dài hạn,B+,Stable,,,,https://www.fitchratings.com/entity/vietnam-thuong-tin-commercial-joint-stock-bank-97781512,97781512,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-02-24
24/02/2026,Bac A Commercial Joint Stock Bank,,,Review - No Action,Tổ chức phát hành,Dài hạn,B+,Stable,,,,https://www.fitchratings.com/entity/bac-a-commercial-joint-stock-bank-97790123,97790123,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-02-24
13/02/2026,Ho Chi Minh City Power Corporation,,,Affirmed,Tổ chức phát hành,Dài hạn,BB+,Stable,,,,https://www.fitchratings.com/entity/ho-chi-minh-city-power-corporation-97012847,97012847,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-02-13
13/02/2026,Vietnam Electricity,,,Affirmed,Tổ chức phát hành,Dài hạn,BB+,Stable,,,,https://www.fitchratings.com/entity/vietnam-electricity-96630179,96630179,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-02-13
13/02/2026,PetroVietnam Gas Joint Stock Corporation,,,Affirmed,Tổ chức phát hành,Dài hạn,BB+,Stable,,,,https://www.fitchratings.com/entity/petrovietnam-gas-joint-stock-corporation-97455191,97455191,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-02-13
13/02/2026,Northern Power Corporation,,,Affirmed,Tổ chức phát hành,Dài hạn,BB+,Stable,,,,https://www.fitchratings.com/entity/vietnam-electricity-northern-power-corporation-97068875,97068875,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-02-13
13/02/2026,National Power Transmission Corporation,,,Affirmed,Tổ chức phát hành,Dài hạn,BB+,Stable,,,,https://www.fitchratings.com/entity/national-power-transmission-corporation-96745181,96745181,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-02-13
13/02/2026,Southern Power Corporation,,,Affirmed,Tổ chức phát hành,Dài hạn,BB+,Stable,,,,https://www.fitchratings.com/entity/southern-power-corporation-97062655,97062655,Fitch Ratings,2026-09-10 10:00:14,Quốc tế,Long Term Issuer Default Rating,2026-08-14,2026-02-13
