ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,loai_hinh,trang_thai_xep_hang,loai_y_kien,ky_han,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,bao_mat,phi_tren_5pc,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
25/09/2026,Công ty Cổ phần Thành Thành Công - Biên Hòa (SBT),Sản xuất đường,,Giám sát Xếp hạng,Tổ chức phát hành,,vnA+,Ổn định,,https://saigonratings.com/ket-qua-giam-sat-xep-hang-ctcp-thanh-thanh-cong-bien-hoa-sbt-nam-2026/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2026-09-25
24/09/2026,Công ty TNHH Xây dựng Hạ tầng Crystal,Phát triển Bất động sản,,Xếp hạng lần đầu,Công cụ nợ,,vnBB+,Ổn định,CICL12602,https://saigonratings.com/xhtp-cicl12602-2026/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2026-09-24
24/09/2026,Công ty TNHH Dịch vụ Vận tải Sinh thái VINBUS,Vận tải,,Xếp hạng lần đầu,Tổ chức phát hành,,vnA-,Ổn định,,https://saigonratings.com/xhtn-vinbus-2026/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2026-09-24
23/09/2026,Công ty Cổ phần Đầu tư Địa ốc Đại Quang Minh,Phát triển Bất động sản,,Xếp hạng lần đầu,Công cụ nợ,,vnA+,Ổn định,DQML12602,https://saigonratings.com/xhtp-dqml12602-2026/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2026-09-23
23/09/2026,Công ty Cổ phần Vinhomes,Phát triển Bất động sản,,Xếp hạng lần đầu,Công cụ nợ,,vnAA+,Ổn định,VHML12618,https://saigonratings.com/xhtp-vhml12618-2026/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2026-09-23
23/09/2026,Công ty Cổ phần Đầu tư Phong Phú,Phát triển Bất động sản,,Kết thúc Xếp hạng,Tổ chức phát hành,,,,,,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2026-09-23
23/09/2026,Công ty Cổ phần Đầu tư Hà Phú Riverland,Phát triển Bất động sản,,Kết thúc Xếp hạng,Tổ chức phát hành,,,,,,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2026-09-23
21/09/2026,Công ty Cổ phần Tư Vấn và Kinh Doanh Bất động sản TCO,Phát triển Bất động sản,,Giám sát Xếp hạng,Tổ chức phát hành,,vnBB-,Ổn định,,https://saigonratings.com/gsxh-tco-2026/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2026-09-21
18/09/2026,Công ty Cổ phần Thời đại mới T&T,Phát triển Bất động sản,,Giám sát Xếp hạng,Tổ chức phát hành,,vnBB+,Ổn định,,,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2026-09-18
17/09/2026,Công ty TNHH Hưng Phát Invest Hà Nội,Phát triển Bất động sản,,Giám sát Xếp hạng,Tổ chức phát hành,,vnBB+,Ổn định,,,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2026-09-17
16/09/2026,Công ty TNHH Đầu tư và Phát triển Đô thị Tiên Du,Phát triển Bất động sản,,Giám sát Xếp hạng,Tổ chức phát hành,,vnBBB-,Ổn định,,https://saigonratings.com/gsxh6t-tien_du-2026/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2026-09-16
