ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,loai_hinh,trang_thai_xep_hang,loai_y_kien,ky_han,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
24/07/2026,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,,Doanh nghiệp,Xếp hạng lần đầu,Công cụ nợ,Dài hạn,A,Ổn định,BCM12601,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-bcm12601-24072026.171.html,https://visrating.com/rating-results/report/rating-announcement-bcm12601-24072026.171.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/tap-doan-dau-tu-va-phat-trien-cong-nghiep-becamex-ctcp.19.html,19,VIS Rating,2026-08-13 08:59:18,2026-07-24
24/07/2026,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,,Doanh nghiệp,Cập nhật,Doanh nghiệp,Dài hạn,A,Ổn định,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-becamex-24072026.170.html,https://visrating.com/rating-results/report/rating-announcement-becamex-24072026.170.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/tap-doan-dau-tu-va-phat-trien-cong-nghiep-becamex-ctcp.19.html,19,VIS Rating,2026-08-13 08:59:18,2026-07-24
23/07/2026,Công ty Cổ phần Container Việt Nam,,Doanh nghiệp,Xếp hạng lần đầu,Công cụ nợ,Dài hạn,A,Ổn định,VSC12601,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-23072026.169.html,https://visrating.com/rating-results/report/rating-announcement-23072026.169.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-container-viet-nam.50.html,50,VIS Rating,2026-08-13 08:59:18,2026-07-23
23/07/2026,Công ty Cổ phần Container Việt Nam,,Doanh nghiệp,Xếp hạng lần đầu,Doanh nghiệp,Dài hạn,A,Ổn định,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-viconship-23072026.168.html,https://visrating.com/rating-results/report/rating-announcement-viconship-23072026.168.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-container-viet-nam.50.html,50,VIS Rating,2026-08-13 08:59:18,2026-07-23
01/07/2026,Công ty Cổ phần Chứng khoán AIS,,Định chế tài chính,Cập nhật,Doanh nghiệp,Dài hạn,A-,Ổn định,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-chung-khoan-ais-01072026.167.html,https://visrating.com/rating-results/report/rating-announcement-ais-securities-01072026.167.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-chung-khoan-ais.18.html,18,VIS Rating,2026-08-13 08:59:18,2026-07-01
24/06/2026,Công ty TNHH Đầu tư StarBay Hà Nội,,Doanh nghiệp,Xếp hạng lần đầu,Công cụ nợ,Dài hạn,BB-,Ổn định,STA12601,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-24062026.165.html,https://visrating.com/rating-results/report/rating-announcement-24062026.165.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-tnhh-dau-tu-starbay-ha-noi.49.html,49,VIS Rating,2026-08-13 08:59:18,2026-06-24
24/06/2026,Công ty Cổ phần Nước Aqua One,,Doanh nghiệp,Giám sát theo dõi,Công cụ nợ,Dài hạn,BBB+,Ổn định,AQ112501,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-nuoc-aqua-one.33.html,33,VIS Rating,2026-08-13 08:59:18,2026-06-24
24/06/2026,Công ty Cổ phần Nước Aqua One,,Doanh nghiệp,Giám sát theo dõi,Doanh nghiệp,Dài hạn,BBB+,Ổn định,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-nuoc-aqua-one.33.html,33,VIS Rating,2026-08-13 08:59:18,2026-06-24
24/06/2026,Công ty Cổ phần Tập đoàn Trường Hải,,Doanh nghiệp,Giám sát theo dõi,Doanh nghiệp,Dài hạn,A-,Ổn định,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-tap-doan-truong-hai.41.html,41,VIS Rating,2026-08-13 08:59:18,2026-06-24
23/06/2026,Công ty TNHH Đầu tư StarBay Hà Nội,,Doanh nghiệp,Xếp hạng lần đầu,Doanh nghiệp,Dài hạn,BB-,Ổn định,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-starbay-23062026.159.html,https://visrating.com/rating-results/report/rating-announcement-starbay-23062026.159.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-tnhh-dau-tu-starbay-ha-noi.49.html,49,VIS Rating,2026-08-13 08:59:18,2026-06-23
