STT,Tên doanh nghiệp,Tên viết tắt,Loại hình doanh nghiệp,Lĩnh vực hoạt động,Vốn điều lệ (VND),Website,Điện thoại,Fax,Địa chỉ trụ sở,Tên người đại diện theo pháp luật,Đơn vị XHTN gần nhất,Kết quả XHTN gần nhất,Ngày hiệu lực
1,17CC - Công ty TNHH MTV 17,"17.CO.,LTD",Công ty trách nhiệm hữu hạn,Xây dựng,40000000000.0,http://tcttruongson.vn/,02436864980,02438615610,"Km12+500 đường Ngọc Hồi, xã Ngũ Hiệp, H. Thanh Trì, TP. Hà Nội",,,,
2,3CIC - Công ty Cổ phần Máy tính - Truyền thông - Điều khiển 3C,3C INC,Công ty cổ phần,Lĩnh vực khác,50000000000.0,www.3c.com.vn,02437331699,02438433316,"Số 149D phố Yên Phụ, Phường Tây Hồ, Thành phố Hà Nội, Việt Nam",Đỗ Duy Hưng,,,
3,492C - Công ty TNHH MTV 492,"492 CO.,LTD",Công ty trách nhiệm hữu hạn,Xây dựng,50000000000.0,tcttruongson.vn,02436414295,02436414083,"Tổ 10 Vạn Phúc, phường Hà Đông, Hà Nội",Phạm Hữu Lợi; Phạm Văn Tam; Trần Hải Bắc,,,
4,AAA - Công ty cổ phần Nhựa An Phát Xanh,"An Phat Bioplastics.,JSC",Công ty cổ phần,Sản xuất,3264344960000.0,http://anphatbioplastics.com,02203755997,02203755998,"Lô CN11+CN12, cụm Công nghiệp An Đông, thị trấn Nam Sách, huyện Nam Sách, tỉnh Hải Dương",,,,
5,AACC - CTCP xây dựng kiến trúc AA,CONG TY AA,Công ty cổ phần,Xây dựng,650000000000.0,www.,02862875111,02862875110,"199C Nguyễn Văn Hưởng, Phường Thảo Đièn, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,,,
6,AAS - Công ty Cổ phần Chứng khoán SmartInvest,SISC,Công ty cổ phần,Kinh doanh chứng khoán,2299995210000.0,https://www.aas.com.vn/,02435739769,02435739769,"Số 220+222+224 Phố Nguyễn Lương Bằng, phường Quang trung, quận Đống Đa, Hà Nội",Ngô Thị Thùy Linh,,,
7,AAV - Công ty Cổ phần Việt Tiên Sơn Địa Ốc,"VTSRE.,HC",Công ty cổ phần,Bất động sản,366561800000.0,viettienson.com,02206296583,02206266373,"Tòa nhà Việt Tiên Sơn, Khu dân cư phía Đông đường Yết Kiêu, phường Cộng Hòa, thành phố Chí Linh, tỉnh Hải Dương",Nguyễn Thanh Hải; Phạm Quang Khánh,,,
8,ABAC - CTCP giải pháp thương mại ABA,ABA CORP,Công ty cổ phần,Lĩnh vực khác,152177240000.0,www.aba.com.vn,02873028882,02873028882,"Lầu 4, 51 Trần Phú, Phường 04, Quận 5 - TP. Hồ Chí Minh",,,,
9,ABB - Ngân hàng TMCP An Bình (ABBANK),ABBANK,Công ty cổ phần,Tổ chức tín dụng,16067839480000.0,http://www.abbank.vn,02437612888,02435190416,"Tầng 1, 2, 3 Tòa nhà Geleximco, Số 36 Hoàng Cầu, Phường Ô Chợ Dừa, Thành phố Hà Nội, Việt Nam",Lê Mạnh Hùng; Phạm Duy Hiếu,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),A-,22/10/2025
10,ABGC - CÔNG TY CỔ PHẦN ABG HÀ NỘI,"ABG HA NOI.,JSC",Công ty cổ phần,Bất động sản,39000000000.0,Không có,0969237595,0969237595,"Số 6 ngõ 250/39/45 Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",,,,
11,ABSC - Công ty Cổ phần Chứng khoán An Bình,ABSC,Công ty cổ phần,Kinh doanh chứng khoán,1011500000.0,https://www.abs.vn/,02435624626,02435624628,"Tầng 16, Tòa nhà Geleximco, 36 Hoàng Cầu, Quận Đống Đa, TP.Hà Nội",Nhâm Hà Hải; Nhâm Hà Hải; Trương Ngọc Lân,,,
12,ACB - Ngân hàng TMCP Á Châu,Ngân hàng Á Châu (ACB),Công ty cổ phần,Tổ chức tín dụng,58044219570000.0,http://www.acb.com.vn/,(08) 3929 0999,(08) 3839 9885,"442 Nguyễn Thị Minh Khai, Phường 5, Quận 3, Tp. HCM",Từ Tiến Phát; Từ Tiến Phát,Công ty cổ phần FiinRatings (FiinRatings),AA+,09/03/2026
13,ACBC - Công ty TNHH Chứng khoán ACB,ACBS,Công ty trách nhiệm hữu hạn,Kinh doanh chứng khoán,11000000000000.0,https://www.acbs.com.vn,02873007000,02873003751,"Tầng 3, Tòa nhà Léman Luxury, 117 Nguyễn Đình Chiểu, Phường Xuân Hòa, TP. HCM",Nguyễn Đức Thái Hân; Đỗ Minh Toàn,,,
14,ACC - Công ty Cổ phần Đầu Tư và Xây Dựng Bình Dương ACC,Binh Duong ACC,Công ty cổ phần,Xây dựng,300000000000.0,www.becamexacc.com.vn,2743567200,274356 7201,"Lô D_3_CN, đường N7, KCN Mỹ Phước, Phường Mỹ Phước, Thị xã Bến Cát, Tỉnh Bình Dương, Việt Nam",,,,
15,ADEC - Công ty Cổ phần ADEC,ADEC JSC,Công ty cổ phần,Bất động sản,523013290000.0,adecland.com.vn,02862760295,0,"Tầng 6, Tòa nhà Smart View, 161A (1 phần) – 163 – 165 Đường Trần Hưng Đạo, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Nguyễn Ngọc Quỳnh Như,,,
16,ADGC - CTCP TẬP ĐOÀN ĐẦU TƯ AN ĐÔNG,AN DONG CORP,Công ty cổ phần,"Thương mại, dịch vụ",9000000000.0,www.andongcorp.com,02838336688,02838336688,"18 AN DƯƠNG VƯƠNG, P9, Q 5, TP HỒ CHÍ MINH",KWOK HAKMAN OLIVER,,,
17,ADS - CÔNG TY CỔ PHẦN DAMSAN,DAMSAN JSC,Công ty cổ phần,Sản xuất,763947270000.0,http://damsanjsc.vn/,0227364 3826,0227364 2312,"Lô A4, đường Bùi Viện, khu công nghiệp Nguyễn Đức Cảnh, Phường Trần Hưng Đạo, Thành phố Thái Bình, Tỉnh Thái Bình, Việt Nam",Vũ Huy Đông,,,
18,AECC - Công ty cổ phẩn Anh ngữ APax,"Apax English.,Corp",Công ty cổ phần,"Thương mại, dịch vụ",611960000000.0,www.apaxenglish.com,02473068800,02473068811,"149, Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Tp.Hà Nội",Nguyễn Ngọc Thủy,,,
19,AGG - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN AN GIA,AN GIA,Công ty cổ phần,Bất động sản,1625280810000.0,www.angia.com.vn,02839303366,02839303395,"60 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP Hồ Chí Minh",NGUYỄN BÁ SÁNG,,,
20,AGHC - CÔNG TY TNHH PHÁT TRIỂN BẤT ĐỘNG SẢN AN GIA HƯNG,AGH,Công ty trách nhiệm hữu hạn,Bất động sản,2500050000000.0,0,0938485358,0,"Phòng 702A, Tầng 7, Toà nhà Centre Point, 106 Nguyễn Văn Trỗi, Phường Phú Nhuận, TP. Hồ Chí Minh, Việt Nam",Đỗ Trịnh Tuyết Trinh,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnB-,20/04/2026
21,AGM - Công ty cổ phần Xuất nhập khẩu An Giang,ANGIMEX,Công ty cổ phần,Sản xuất,182000000000.0,www.angimex.com.vn,02963844920,02963844669,"Số 01 Ngô Gia Tự, Phường Mỹ Long, Thành phố Long Xuyên, Tỉnh An Giang",Huỳnh Thanh Tùng; Huỳnh Thanh Tùng; Võ Thanh Bào,,,
22,AHBC - CÔNG TY TNHH AQUA CITY HÒA BÌNH,"AQUA CITY HOA BINH CO.,LTD",Công ty trách nhiệm hữu hạn,Bất động sản,1160000000000.0,casadelrio.com.vn,0969266165,02437669863,"166 Võ Chí Công, tổ dân phố 18, Phường Hòa Bình, Tỉnh Phú Thọ, Việt Nam",Bùi Thế Vinh,,,
23,AHCC - Công ty Cổ phần Kiểm định Xây dựng An Hòa,AHCV,Công ty cổ phần,Xây dựng,65000000000.0,anhoaahcv.com.vn,02835178869,02835178867,"109 đường Trần Nguyên Đán, Phường 1, Quận Bình Thạnh, Thành phố Hồ Chí Minh",Lê Thanh Tùng,,,
24,AIEC - Công ty Cổ phần Giáo dục quốc tế Mỹ AIS,AIEC,Công ty cổ phần,"Thương mại, dịch vụ",1000000000000.0,tri.nguyen@ais.edu.vn,02839453945,02839453945,"220 Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè, Thành phố Hồ Chí Minh.",,,,
25,AISC - CÔNG TY CỔ PHẦN CHỨNG KHOÁN AIS,AIS,Công ty cổ phần,Kinh doanh chứng khoán,1500000000000.0,https://www.aisec.com.vn/,024 7308 8189,024 3212 1615,"Tầng 10 Tòa nhà Hoarison Tower 40 Cát Linh, P. Cát Linh, Q. Đống Đa, HN",Nguyễn Ngô Thị Thu Phương,,,
26,AKHC - Công ty cổ phần Đầu tư An Khải Hưng,AKH Investment JSC,Công ty cổ phần,Bất động sản,150000000000.0,www.ankhaihung.vn,0908352068,02836369636,"L17-11, tầng 17, tòa nhà Vincom Center, 72 Lê Thánh Tôn, phường Bến Nghé, quận 1, TP. Hồ Chí Minh",Huỳnh Trọng Nghĩa,,,
27,AKPC - Công ty cổ phần nhiệt điện An Khánh - Bắc Giang,An Khanh Thermal Power JSC,Công ty cổ phần,Năng lượng,4250000000000.0,nhietdienankhanhbacgiang.com.vn,0913552139,02043 693268,Thôn Dăm - Xã Cẩm Lý - Tỉnh Bắc Ninh,TRẦN HỒNG KỲ,,,
28,AKRC - CÔNG TY TNHH PHÁT TRIỂN BẤT ĐỘNG SẢN AN KHANG,AKRC,Công ty trách nhiệm hữu hạn,Bất động sản,750000000000.0,0,0938485358,0,"315 Nam Kì Khởi Nghĩa, phường Võ Thị Sáu, Quận 3, TP.HCM",Nguyễn Quốc Hiển,,,
29,ALIC - Công ty Cổ phần Air Link,ALIC,Công ty cổ phần,Bất động sản,360000000000.0,congtyairlink.com,+84 28 3915 8863,+84 28 3915 8863,"66 Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",Võ Thanh Sơn,,,
30,ALMC - Công ty TNHH Khu Du lịch Vịnh Thiên Đường,"PBR CO., LTD",Công ty trách nhiệm hữu hạn,"Thương mại, dịch vụ",800000000000.0,alma.vn,02439741675,02439741677,"Tầng 9, Tòa nhà Gold Coast, Số 01 Trần Hưng Đạo, Phường Lộc Thọ, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam",Nguyễn Hồng Thắm,,,
31,ALPC - CÔNG TY CỔ PHẦN ĐẦU TƯ ALPHANAM,ALPHANAM INVEST,Công ty cổ phần,Lĩnh vực khác,1874844130000.0,alphanam.com.vn,02213980386,02213980385,"Khu Công nghiệp Phố Nối A, Xã Trưng Trắc, Huyện Văn Lâm, Tỉnh Hưng Yên, Việt Nam",Nguyễn Minh Nhật; Nguyễn Ngọc Mỹ,,,
32,ALSC - Công ty CP Logistics Hàng Không,ALS corp,Công ty cổ phần,"Thương mại, dịch vụ",902719540000.0,https://als.com.vn/,02437953838,02437953939,"Tầng 4, Ga hàng hóa ALS Cảng hàng không quốc tế Nội bài, xã Phú Minh, Huyện Sóc Sơn, TP.Hà Nội",,,,
33,ANCC - Công ty Cổ phần Dinh Dưỡng Nông Nghiệp Quốc tế,ANCO JSC,Công ty cổ phần,Sản xuất,1214000000000.0,https://anco.com.vn/,0251 3968 175,0251 3968 176,"Lô A4, Đường số 4, Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam",,,,
34,ANPC - Công ty Cổ phần Apec Finance (tên cũ: Công ty Cổ phần đầu tư Anpha),Công ty Cổ phần Apec Finance,Công ty cổ phần,Bất động sản,300000000000.0,apecgroup.net,02435730200,02435771966,"Tầng 16, tòa nhà Charmvit Tower, số 117, Trần Duy Hưng, P.Trung Hòa, Q.Cầu Giấy, Hà Nội",Trần Thị Đạt; Trần Thị Đạt,,,
35,AP1C - Công ty CP Khu Công nghiệp Kỹ Thuật Cao An Phát 1,An Phat High-Tech IP No1,Công ty cổ phần,Bất động sản,375000000000.0,không có,0989060878,0,"Khu công nghiệp An Phát 1- Km72, Quốc Lộ 37, Xã An Bình, Huyện Nam Sách, Tỉnh Hải Dương, Việt Nam",,,,
36,APAC - CTCP AN PHÁT FINANCE,"AN PHAT FINANCE., JSC",Công ty cổ phần,"Thương mại, dịch vụ",10000000000.0,Không có,0396332692,0396332692,"Khu Công Nghiệp KT cao An Phát, KM47, Quốc Lộ 5, Phường Việt Hòa, TP Hải Dương, tỉnh Hải Dương",,,,
37,APBC - CTCP Đầu tư - Phát triển đô thị Ân Phú,ÂN PHÚ,Công ty cổ phần,Bất động sản,250000000000.0,anphudn.vn,0911237997,0911237997,"28 Phan Bội Châu, Phường Bàn Thạch, Thành phố Đà Nẵng",NGUYỄN QUỐC TRƯỜNG,,,
38,APCC - Công ty Cổ phần Thương mại Công nghệ An Phát,"AP.,JSC",Công ty cổ phần,"Thương mại, dịch vụ",111000000000.0,www.anphat.biz.vn,02437753279,02438350134,"Số 5, ngõ 82 Duy Tân, phường Dịch Vọng Hậu, Cầu giấy, Hà Nội",NGUYỄN MẠNH HÀ,,,
39,APEC - Công ty TNHH An Phú Cần Thơ,APEC,Công ty trách nhiệm hữu hạn,Bất động sản,320000000000.0,https://apland.vn/,0987698995,02113847188,"Thửa đất số 4357, Tờ bản đồ số 2, DA Chỉnh trang và PTĐT An Phú Cần Thơ, Đường Lê Hồng Nhi, Phường Ba Láng, Quận Cái Răng, Thành phố Cần Thơ, Việt Nam.",Vương Thân Vũ; Vương Thân Vũ; Vương Xuân Vũ,,,
40,APG - Công ty Cổ phần Chứng khoán APG,APG,Công ty cổ phần,Kinh doanh chứng khoán,2236219420000.0,www.apsi.vn,(84-28) 3769 6666,02439410323,"Tòa nhà văn phòng OSC Việt Nam, số 161 Võ Văn Tần, Phường Xuân Hòa, Thành phố Hồ Chí Minh",Trần Thiên Hà,Công ty cổ phần FiinRatings (FiinRatings),BB-,25/08/2025
